numXbins 34
numYbins 34
xbin  ybin  z
23  1  1.07407401301051718e-02
23  2  1.19620416669063197e-02
23  3  2.93782895714380602e-03
23  4  7.64206911373729175e-03
23  5  1.50900922684703547e-02
23  6  1.52741935279890068e-02
23  7  1.25022551794758616e-02
23  8  1.59552519746693003e-02
23  9  1.17051486653536978e-02
23  10  1.11390709562031627e-02
23  11  1.21638590399362340e-02
23  12  3.58203869981968959e-02
23  13  2.73035707306551710e-02
23  14  5.19081154686293414e-02
23  15  2.79492801048463850e-02
23  16  1.30458982312753914e-02
23  17  2.55400369456652461e-02
23  18  2.10700881357073939e-02
23  19  1.81338031439327446e-02
23  20  3.83252110762088635e-02
23  21  1.18559122941554480e-02
23  22  1.76692543370413346e-02
23  23  1.40750048137101874e-01
23  24  -8.29508568098148887e-03
23  25  1.35097575281633662e-02
23  26  -4.90168199245092570e-02
23  27  1.46085283010625889e-02
23  28  2.77535983706712168e-02
23  29  2.88075089125565641e-02
23  30  2.65587988397344536e-02
23  31  2.12199852726161452e-02
23  32  1.33877853547422227e-02
23  33  2.49901650762662034e-02
24  0  6.11643857214406376e-04
24  1  9.67945963988847192e-04
24  2  1.61238868649193380e-03
24  3  1.53332709613784369e-03
24  4  6.23416524081545531e-04
24  5  9.91645911107898745e-04
24  6  2.08703442586381820e-04
24  7  1.45183518290614667e-03
24  8  1.35574475090536424e-03
24  9  1.66053192043952237e-03
24  10  7.90848294790574792e-04
24  11  1.31734511490489391e-03
24  12  -7.81654909470535239e-04
24  13  1.40136078818119537e-03
24  14  9.19921901680882632e-05
24  15  7.67915310996551692e-03
24  16  1.35447101203431636e-03
24  17  4.99128164282122786e-04
24  18  1.42801850864864889e-03
24  19  3.53063938835311564e-03
24  20  1.64367745641634598e-03
24  21  2.28357602824312989e-03
24  22  9.52273940049100419e-04
24  23  -8.29508568098149060e-03
24  24  5.94337099226263307e-03
24  25  1.57743414852036393e-03
24  26  1.92495538003906626e-02
24  27  -1.99189758363930687e-04
24  28  1.24046359451643632e-03
24  29  9.27415824639420887e-04
24  30  3.90721742116227969e-03
24  31  2.72142830818413025e-03
24  32  1.54797481009534945e-03
24  33  5.25254182318774616e-04
25  0  2.13574628636855387e-03
25  1  1.90628712149917552e-03
25  2  1.79493513318462966e-03
25  3  1.33062782133195234e-03
25  4  1.34742749582919129e-03
25  5  1.51860015786223971e-03
25  6  1.64142544775446302e-03
25  7  2.06285765902364162e-03
25  8  2.40043535625322465e-03
25  9  1.94074580595150845e-03
25  10  1.20741102109598523e-03
25  11  1.87585947377931776e-03
25  12  5.43938074463904461e-03
25  13  4.65904130127348885e-03
25  14  7.79253397869446567e-03
25  15  5.07430658046799290e-03
25  16  2.56428907059459265e-03
25  17  2.77150006389258749e-03
